서명,저자,출판사,출판년
인생에서 중요한 것만 남기는 힘 : 나의 우선순위가 분명해지는 최적의 삶,최다혜,더퀘스트,2021
나를 믿고 일한다는 것 : 나와 우리를 성장시키는 진짜 유능함에 대하여,우미영,퍼블리온,2020
(뉴욕주민의) 진짜 미국식 주식투자 : 월스트리트 트레이더가 알려주는 투자의 정석 . [2],뉴욕주민,비즈니스북스,2022
부의 추월차선 : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,"드마코, 엠제이",토트,2013
(국어과 선생님이 뽑은)홍길동전,허균,북앤북,2008
박토의 혼,조정래,휴이넘,2008
서편제,이청춘,휴이넘,2007
꼬부랑 꼬부랑 할머니,김기택,비룡소,2009
줄리엣과 물감 상자,"로페스, 카를로스 펠리세르",미래M＆B,2007
(123 미니쌤의) 초등 수학 로드맵 : 당신의 자녀도 수학을 잘할 수 있습니다,김민희,생각지도,2021
(A) Killer`s wife : 라스베이거스 연쇄 살인의 비밀,"메토스, 빅터",키멜리움,2021
나는 돈이 없어도 사업을 한다 : 스펙도 나이도 필요 없는 주말 48시간의 기적,"도허티, 프레이저",비즈니스북스,2017
"나의 아름다움과 너의 아름다움이 다를지언정 , 최현우 산문집",최현우,한겨레,2021
나인 : 천선란 장편소설,천선란,창비,2021
지금은 라디오 시대,이보림,천개의바람,2019
국경을 넘는 아이들,박현숙,살림출판사,2018
세상의 편견을 깬 과학자들,클레어 이머,다림,2019
(방그러니 친구) 오딱다토개,양신애,어린른이,2017
평화롭다는 것 : 철원 노동당사 앞에서,김경선,장수하늘소,2018
마사 퀘스트,"레싱, 도리스",민음사,2007
노랑은 어디에 있을까？,"란체티, 세바스티아노",소년한길,2007
내 글도 책이 될까요? : 글을 쓸 때 궁금한 것,이해사,모아북스,2021
당신만 모르는 인생을 바꾸는 대화법 : 말 잘하는 사람들의 여덟 가지 공통점,스쿤,미디어숲,2021
멋쟁이 희극인 : 희극인 박지선의 웃음에 대한 단상들,박지선,자이언트북스,2021
모든 직업에서 감정노동이 발생한다 : 감정노동 직업군의 정의,윤서영,커리어북스,2020
방금 떠나온 세계 : 김초엽 소설집,김초엽,한겨레,2021
법정의 얼굴들 : 《어떤 양형 이유》박주영 판사 신작,박주영,모로,2021
사물에게 배웁니다 : 오늘이 좋아지는 마법,임진아,휴머니스트,2020
"(서울 자가에 대기업 다니는) 김 부장 이야기 . 2 , 정 대리·권 사원 편",송희구,서삼독,2021
"세계 1등은 다르게 일한다 : LG전자, 생활 가전 세계 넘버원의 비밀",이영하,서울문화사,2021
(30장면으로 끝내는) 스크린 영어회화 : 라이온 킹,"박, 라이언",길벗이지톡,2019
(30장면으로 끝내는) 스크린 영어회화 : 라이온 킹,"박, 라이언",길벗이지톡,2019
언오소독스 : 밖으로 나온 아이,"펠드먼, 데버라",사계절,2021
왜 살아야 하는가 : 삶과 죽음이라는 문제 앞에 선 사상가 10인의 대답,"하우스켈러, 미하엘",추수밭,2021
자세한 건 만나서 얘기해,황효진,세미콜론,2021
제 마음대로 살아보겠습니다 : 현실은 엉망이지만 그럼에도 불구하고,이원지,상상,2019
"초등 문해력을 키우는 엄마의 비밀 : 엄마표 책동아리 실전 가이드 . 1 , 1단계",최나야,로그인,2021
취향 살림을 `삶`니다,서인경,팜파스,2021
고양이 찻집,박종진,소원나무,2021
너도 내가 무서워?,올리브,씨드북,2021
네 심장에 행복이 살고 있어,"프리들, 라인하르트",여유당,2021
노을 수프,문채빈,아이세움,2021
눈 내린 날,사카이 고마코,북뱅크,2021
느낌표,"로젠탈, 에이미 크루즈",천개의바람,2021
"(비트코인에 가려진 세상,) 이더리움 : NFT-디파인-블록체인 게임은 왜 이더리움에서 시작했을까?",코인 트레이너,지식오름,2022
누렁이를 삼켜버린 안개산으로,박재형,국민서관,2006
당신의 이름은 조선의 어머니입니다,김정한,푸른나무,2007
(달팽이 박사)권오길 이야기,이상권,봄나무,2007
검정 연필 선생님 : 김리리 동화집,김리리,창비,2007
뿔쇠똥구리의 꿈,박윤규,시공주니어,2008
까만 달걀,황복실,샘터,2006
소피의 선택 . 2,"스타이런, 윌리엄",민음사,2008
우리는 예비 숙녀!,"클로샤르, 세브린느",홍진P＆M,2007
(소크라테스가 들려주는)지혜 이야기,서정욱,자음과모음,2006
(플라톤이 들려주는)이데아 이야기,서정욱,자음과모음,2007
"꿈을 쏘아라, 미래를 열어라",금동이책,샘터,2008
길모퉁이 행운돼지,김종렬,다림,2007
(어린이)삼한지 : 삼국시대의 영웅들이 깨어난다 . 1,김정산,동아일보사,2008
기절초풍 곤충 기르기,"호로비츠, 루스",큰북작은북,2007
달팽 수프 지렁 스파게티,서석영,꿈소담이,2008
(소중하고 아름다운)효 이야기,장수하늘소,깊은책속옹달샘,2008
달걀 후라이 : 나비야씨 그림책,나비야씨,월천상회,2021
더 근사한 파티 옷 없을까?,"패트릭, 캣",비룡소,2021
도토리,송현주,향,2021
또 생각하는 개구리,이와무라 카즈오,진선아이,2021
똑같을까?,이희은,사계절,2021
똥 싸고 싶어,순이,고래뱃속,2021
아이스케키와 수상스키 : 이금이 창작동화,이금이,푸른책들,2007
순둥이,김일광,봄봄,2007
손도끼를 든 아이,"알몬드, 데이비드",책과콩나무,2009
열한 살 봉자 씨,이상현,삼성당,2008
기담 : 김경주 시집,김경주,문학과지성사,2008
거울의 거리,"세께라, 아르난도 호세",지호어린이,2008
커다란 나뭇잎,박은경,웅진주니어,2021
토끼에게 물어보세요,정재원,보림,2021
할머니의 저녁 식사,"고프스타인, M.B",미디어창비,2021
행복한 세세 씨,김수완,옐로스톤,2021
"화가 난다, 화가 나!","내프먼, 티머시",제제의숲,2021
29센티미터,이상권,웅진주니어,2021
AI 디케,노수미,마루비,2021
"(Go Go) 카카오프렌즈 : 세계 역사 문화 체험 학습만화 . 22 , 페루",김미영,아울북,2021
거꾸로 말대꾸,류미정,잇츠북어린이,2021
경제 공부하는 아이 팡팡이 : 꿈을 이루게 하는 어린이 경제 동화,아이마 선,아름다운사람들,2021
고민버거와 나의 자전거,문정회,아주좋은날,2021
고양이가 들려주는 철학 동화,"다만, 미리암",토토북,2021
"(과학이 톡톡 쌓이다!) 사이다 . 1 , 바다탐험×인어공주",정원영,상상아카데미,2021
"(과학이 톡톡 쌓이다!) 사이다 : 과학이 톡톡 쌓이다! . 3 , 태양계x어린왕자 = Sci-da",박대영,상상아카데미,2021
기억 지우개,박정미,단비어린이,2021
"꼴찌 마녀 밀드레드 . 4 , 으스스 해변의 보물 상자","머피, 질",이지북,2021
꽉찬이 텅빈이,"벨레모, 크리스티나",이마주,2021
(재미가 가득한)DSLR 길라잡이,이동근,정보문화사,2008
(재미가 가득한)DSLR 길라잡이,이동근,정보문화사,2008
악마의 바이올린 : 조셉 젤리네크 장편소설,"젤리네크, 조셉",세계사,2009
악마의 바이올린 : 조셉 젤리네크 장편소설,"젤리네크, 조셉",세계사,2009
몽양 여운형,전상봉,산하,2010
수선된 아이 : 제1회 올해의 작가상 동화집,김기정,푸른책들,2007
10번 교향곡 : 조셉 젤리네크 장편소설,"젤리네크, 조셉",세계사,2008
10번 교향곡 : 조셉 젤리네크 장편소설,"젤리네크, 조셉",세계사,2008
누구도 기억하지 않는 역에서 : 허수경 시집,허수경,문학과지성사,2016
달려라 바퀴！,최정금,바람의 아이들,2006
여우골에 이사 왔어요 : 양혜원 동화,양혜원,창비,2006
(교과서 속)체험학습 여행지 39 보고서 만들기,김현진,영진미디어,2007
(교과서 속)체험학습 여행지 39 보고서 만들기,김현진,영진미디어,2007
상위 1%가 되는 주식투자의 비밀,성경호,주차연,2008
상위 1%가 되는 주식투자의 비밀,성경호,주차연,2008
상위 1%가 되는 주식투자의 비밀,성경호,주차연,2008
"고구려사 이야기 . 1 , 동명성왕부터 서천왕까지",박영규,주니어김영사,2006
피라니아 이야기,"포사다, 호아킴 데",시공사,2006
청아 청아 예쁜 청아 : 강숙인 장편동화,강숙인,푸른책들,2008
난 선생님 아니야 : 이혜영 동시집,이혜영,청개구리,2009
전래 놀이 : 겨레전통도감,함박누리,보리,2010
똥줌오줌,김영주,재미마주,2008
만화는 표현이야！,안수철,청년사,2007
잃어버린 아이들,"윌리엄스, 메리",사계절,2007
(마리 & 본의)사춘기,이우진,살림어린이,2008
가끔은 내게도 토끼가 와 주었으면 : 메마르고 뾰족해진 나에게,라문숙,혜다,2020
"결혼 고발 : 착한 남자, 안전한 결혼, 나쁜 가부장제",사월날씨,아르테,2019
교실 속 어린이 철학,"리프맨, 매튜",씨아이알,2020
"그러니까, 영국 : 유쾌하고 사소한 영국 인문학 여행",윤영호,두리반,2021
"글, 영화, 음악 그리고 사랑 : 안박 에세이",안박,좋은땅,2021
나의 사유 재산 : 메리 루플 산문집,"루플, 메리",카라칼,2021
내 마음을 나도 모를 때 : 생각이 많은 섬세한 당신을 위한 양브로의 특급 처방,양재진,21세기북스,2021
너는 다시 태어나려고 기다리고 있어 : 이슬아 서평집,이슬아,헤엄출판사,2019
마의태자,이광수,태학사,2019
미드나잇 라이브러리,"헤이그, 매트",인플루엔셜,2021
센스를 배웠더니 일머리가 돌아갑니다 : 직급별로 마주하는 다양한 문제들을 센스 있게 해결하는 직장 내 센스 참고서,이찬,티더블유아이지,2021
스마일,"텔게마이어, 레이나",보물창고,2020
"스타일, 인문학을 입다 : 어딘가 끌리는 이들의 남다른 패션 비결",이문연,북포스,2013
완벽한 사과는 없다 : 김혜진 장편소설,김혜진,뜨인돌,2021
어른답게 삽시다[큰글자책] : 미운 백 살이 되고 싶지 않은 어른들을 위하여,이시형,특별한서재,2021
질병이 바꾼 세계의 역사[큰글자책] : 인류를 위협한 전염병과 권력자들의 질병에 대한 기록,로날트 D. 게르슈테,미래의창,2021
내 옆에 오지 마!,박종무,시지시,2007
하늘에 새긴 우리역사 : 천문기록을 담긴 한국사의 수수께끼,박창범,김영사,2008
(The)Berenstain Bears and the Real Easter Eggs,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears and the Mama's Day Surprise,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears and Mama's New Job,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears and the Week at Grandma's,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears Go Out for the Team,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears Get the Gimmies,"Berenstain, Stan",Random House,1988
목신의 오후 : 앙리 마티스 에디션,"말라르메, 스테판",문예출판사,2021
므레모사 : 김초엽 소설,김초엽,현대문학,2021
밤이 아홉이라도,전석순,미메시스,2018
벼랑 위의 집 : 아서와 선택된 아이들,"클룬, T.J",든,2021
별게 다 영감 : 어느 마케터의 아카이브,이승희,북스톤,2021
부덴브로크 가의 사람들 . 1,"만, 토마스",민음사,2001
부케를 발견했다,최정화,미메시스,2018
불안한 사람들 : 프레드릭 배크만 장편소설,"배크만, 프레드릭",다산책방,2021
브로콜리 펀치 : 이유리 소설집,이유리,문학과지성사,2021
뻬쩨르부르그 이야기,"고골, 니꼴라이 바실리예비치",민음사,2002
사랑받지 못한 여자,"노이하우스, 넬레",북로드,2012
사랑하는 토끼 머리에게,오한기,미메시스,2018
산산이 부서진 남자 : 마이클 로보텀 장편소설,"로보텀, 마이클",북로드,2015
상대적이며 절대적인 지식의 백과사전,"베르베르, 베르나르",열린책들,2021
설국,가와바타 야스나리,민음사,2002
센 강의 이름 모를 여인 : 기욤 뮈소 장편소설,"뮈소, 기욤",밝은세상,2022
셜록 홈즈의 귀환,"도일, 아서 코난",코너스톤,2016
가재미 : 문태준 시집,문태준,문학과지성사,2006
빨간 장갑 . 102,"아일스워스, 짐",베틀북,2009
셜록 홈즈의 사건집,"도일, 아서 코난",코너스톤,2016
소마 : 채사장 장편소설,채사장,웨일북,2021
시소 첫번째 : 2022 시소 선정 작품집,김리윤,자음과모음,2022
"식객 . 5 , 술의 나라 = 食客",허영만,김영사,2003
"아리랑 : 조정래 대하소설 . 1 , 제1부 아, 한반도",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 11 , 제4부 동트는 광야",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 12 , 제4부 동트는 광야",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 2 , 제1부 아, 한반도",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 5 , 제2부 민족혼",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 7 , 제3부 어둠의 산하",조정래,해냄,2020
"아리랑 : 조정래 대하소설 . 9 , 제3부 어둠의 산하",조정래,해냄,2020
"의천도룡기 : 김용 대하역사소설 . 1 , 무림지존 도룡도",김용,김영사,2007
"의천도룡기 : 김용 대하역사소설 . 4 , 구양진경",김용,김영사,2007
"의천도룡기 : 김용 대하역사소설 . 6 , 명교의 비밀",김용,김영사,2007
"의천도룡기 : 김용 대하역사소설 . 7 , 의천검 도룡도를 잃고",김용,김영사,2007
크레용 왕국의 경찰 대장,후쿠나가 레이조,파랑새어린이,2006
"(모던 웹을 위한) JavaScript+jQuery 입문 : ECMAScript 5/6, jQuery 3.X 대응",윤인성,한빛미디어,2017
PHP+MySQL 웹 개발 마스터 북 : 로그인부터 회원 관리까지 쉽게 배우는 PHP와 MySQL = PHP+MySQL masster book,나가타 요리노부,남가람북스,2016
오이디푸스 왕 · 안티고네 외,소포클레스,문예,2017
잠깐,박정열,문경출판사,2022
"수호지 . 1 , 일탈하는 군상",시내암,알에이치코리아,2021
"수호지 . 2 , 사해(四海) 는 모두 형제",시내암,알에이치코리아,2021
(열려라！)중국 신화,정재서,황금부엉이,2006
"수호지 . 5 , 번지는 들불",시내암,알에이치코리아,2021
"수호지 . 6 , 다 모인 백여덟 영웅",시내암,알에이치코리아,2021
"수호지 . 8 , 하늘을 대신해 도를 행한다",시내암,알에이치코리아,2021
이코,정용준,미메시스,2018
"임꺽정 : 벽초 홍명희 소설 . 10 , 화적편4 = 林巨正",홍명희,사계절,2008
첫사랑,"투르게네프, 이반 세르게예비치",민음사,2003
"태백산맥 . 6 , 제3부 분단과 전쟁",조정래,해냄,2020
"태백산맥 . 8 , 제4부 전쟁과 분단",조정래,해냄,2020
트래블러 : 아르헨티나,JTBC . 트래블러 제작진,오렌지디,2020
팡세,파스칼,민음사,2003
"한강 : 趙廷來 大河小說 . 2 , 제1부 격랑시대",조정래,해냄,2020
"한강 : 趙廷來 大河小說 . 4 , 제2부 유형시대",조정래,해냄,2020
"한강 : 趙廷來 大河小說 . 8 , 제3부 불신시대",조정래,해냄,2020
헌책방 기담 수집가,윤성근,프시케의숲,2021
형사 부스지마 최후의 사건 : 나카야마 시치리 소설,나카야마 시치리,북로드,2021
(비트겐슈타인이 들려주는)언어 이야기,박해용,자음과모음,2006
수수께끼를 좋아하는 아이,마쓰오카 교코,북뱅크,2006
30개 도시로 읽는 일본사 : 익숙하고 낯선 도시가 들려주는 일본의 진짜 역사 이야기,조 사무소,다산초당,2021
만들어진 유대인,"산드, 슐로모",사월의책,2022
"변방의 인문학 : 역사의 땅, 중국 변방을 가다",윤태옥,시대의창,2021
열 두 달 남도여행 = 12 Month Namdo Travel,정지효,라이트라이프,2021
오는 날이 장날입니다 : 전국 오일장에서 찾은 사계절의 맛,김진영,상상,2021
유럽 열 개의 길,이상엽,크루,2021
유럽에서 대한민국만세 : 삼둥이와 함께한 지구 반대편 여행 기록,송일국,상상출판,2022
이순신의 바다 : 그 바다는 무엇을 삼켰나,황현필,역바연,2021
"일생일문 : 단 한 번의 삶, 단 하나의 질문",최태성,생각정원,2021
"주소 이야기 : 거리 이름에 담긴 부와 권력, 정체성에 대하여","마스크, 디어드라",민음사,2021
"총, 균, 쇠 : 무기·병균·금속은 인류의 운명을 어떻게 바꿨는가","다이아몬드, 재레드",문학사상,2005
특별하게 제주 : SNS 핫스폿부터 SNS에 없는 히든스폿까지,강경필,디스커버리미디어,2021
넌 누구야?,황선미,사계절,2004
"Lyle, Lyle, Crocodile","Waber, Bernard",HMCo,1993
Hurricane,"Wiesner, David",Clarion Books,2006
(The)House on east 88th street,"Waber, Bernard",Houghton Mifflin,2006
유형의 땅,조정래,휴이넘,2008
허깨비 춤,조정래,휴이넘,2008
"1일 1페이지, 세상에서 가장 짧은 신화 수업 365",김원익,위즈덤하우스,2021
나는 게임한다 고로 존재한다 : 청소년을 위한 게임 인문학 수업,이동은,자음과모음,2021
세상은 축구공 위에 있어 : 축구가 바꾼 경제·역사·문화 이야기,장지원,자음과모음,2021
하나를 비우니 모든 게 달라졌다,이초아,북스톤,2021
(세밀화로 그린 보리 어린이)새 도감 : 산과 물에 사는 우리 새 100종,김현태,보리,2009
나는 장사의 신이다 : 일단 돈을 진짜 많이 벌어봐라 세상이 달라진다!,은현장,떠오름,2022
나의 첫 메타버스 수업 : 메타버스가 궁금한 사람이라면 꼭 알아야 할 50가지,이재원,메이트북스,2022
다모다란의 투자 전략 바이블 : 당신을 현혹하는 투자 전략의 허와 실,"다모다란, 에스워드",에프엔미디어,2021
달력으로 배우는 지구환경 수업 : 세계 51가지 기념일로 쉽게 시작하는 환경 인문학,최원형,블랙피쉬,2022
"어떤 양형 이유 : 책망과 옹호, 유죄와 무죄 사이에 서 있는 한 판사의 기록",박주영,김영사,2021
초보자를 위한 투자의 정석 : 우석이 알려주는 실패하지 않는 주식투자법,우석,토트,2021
외계인 게임 : 오음 장편소설,오음,팩토리나인,2021
유리멘탈을 위한 심리책,"히로코, 미즈시마",갤리온,2021
이순신,이광수,태학사,2020
(이제라도!) 전기 문명,곽영직,세로,2021
(중고생이 꼭 읽어야 할) 한국단편소설 70 : 수능·논술·내신을 위한 필독서,김동인,리베르,2013
"직업상담사, 오늘도 출근합니다",팽혜영,바른북스,2021
천사와 악마 . 2,"브라운, 댄",문학수첩,2008
카지노 : 김진명 장편소설,김진명,새움,2010
캐치-22 . 1,"헬러, 조지프",민음사,2021
태어나지 않은 아이를 위한 기도,"케르테스, 임레",민음사,2022
"황제 : 이원호 장편개척소설 . 1 , 대륙진출",이원호,한결미디어,2021
"황제 : 이원호 장편개척소설 . 3 , 한민족 대이동",이원호,한결미디어,2021
(The) 117-storey treehouse,"Griffiths, Andy",Macmillan Children`s Books,2021
30`s and 40`s Britain,"Guy, John",ticktock Media Ltd,2021
"Aloha, Scooby-Doo!","Weyn, Suzanne",Scholastic,2021
Around the World in Eighty Days,"Verne, Jules",Disney-Hyperion,2021
At the Waterhole,"Shoshan, Beth",ALBURY BOOKS,2021
Attack of the Jack!,"Stine, R.L",Scholastic,2017
Back to school,"Badger, Meredith",Egmont,2021
세상 모든 것이 과학이야! : 과학력이 샘솟는 우리 주변 놀라운 이야기,신방실,북트리거,2021
2만원으로 일주일 집밥 만들기,송혜영,길벗,2021
공간의 미래 : 코로나가 가속화시킨 공간 변화,유현준,을유문화사,2022
매일 한끼 비건 집밥,이윤서,Taste Books,2021
불안한 엄마 무관심한 아빠  : 오은영 박사의 불안감 없는 육아 동지 솔루션,오은영,김영사,2021
식물 상담 : 처음부터 잘하고 싶은 식물 집사들을 위한 안내서,강세종,북하우스엔,2021
"분더카머 : 시, 꿈, 돌, 숲, 빵, 이미지의 방 = Die Wunderkammer",윤경희,문학과지성사,2021
우리말 어감사전,안상순,유유,2022
0％를 향하여 : 서이제 소설집,서이제,문학과지성사,2021
가능주의자 : 나희덕 시집,나희덕,문학동네,2021
이차돈의 사 : 이광수 장편소설,이광수,태학사,2020
일본 기차 여행 : 2018~2019 전면 개정판,인페인터글로벌,꿈의지도,2018
자기 결정 : 행복하고 존엄한 삶은 내가 결정하는 삶이다,"비에리, 페터",은행나무,2015
작고 귀여운 나의 행복,밀리카,부크럼,2020
차가운 피부,알베르트 산체스 피뇰,들녘,2017
클래식은 처음이라 : 가볍게 시작해서 들을수록 빠져드는 클래식 교양 수업,조현영,카시오페아,2021
히구치 유미코의 자수 시간 : 다섯 가지 실로 즐기는 식물과 무늬,히구치 유미코,한스미디어,2018
(겨레의 큰사람)김구,김구,창비,2006
깡패 진희,장주식,문학동네,2003
개미 차,박종진,해와나무,2021
Babe & me,"Gutman, Dan",Harpercollins Childrens Books,2020
Bear Says Thanks,"Wilson, Karma",Simon & Schuster,2021
Bon bon on the go-go,"Tolentino, Noel",Chronicle,2021
Photoshop ＆ liiustrator secret design 133,박주현,길벗,2008
Photoshop ＆ liiustrator secret design 133,박주현,길벗,2008
"영어 성경, 이렇게 읽어라 = English Bible",원수미,살림,2008
"영어 성경, 이렇게 읽어라 = English Bible",원수미,살림,2008
가짜 모범생 : 손현주 장편소설,손현주,특별한서재,2022
검은 황무지 : S. A. 코스비 장편소설,"코스비, S. A",네버모어,2022
겨울 방학 : 최진영 소설,최진영,민음사,2021
고르고 고른 말 : 카피라이터·만화가·시인 홍인혜의 언어생활,홍인혜,M창비(미디어창비),2021
딸에 대하여 : 김혜진 장편소설,김혜진,민음사,2017
마음챙김의 시,류시화,수오서재,2020
메리 크리스하우스 : 김효인 장편소설,김효인,안전가옥,2021
끼인 날,김고은,천개의바람,2021
나는 물이 싫어,"린드스트룀, 에바",단추,2021
남자아이 여자아이,"에스트렐라, 조아나",그림책공작소,2021
내가 가장 듣고 싶은 말,허은미,나는별,2021
너의 정원,나현정,글로연,2021
다 같은 나무인 줄 알았어 : 김선남 그림책,김선남,그림책공작소,2021
다른 공룡이 되고 싶어?!,박진영,현암주니어,2021
도토리다!,"피콕, 루",사파리,2021
사계절 목욕탕 : 김효정 그림책,김효정,웅진주니어,2021
세상에서 가장 빛나는 별,"쇼도르스트, 다니엘",보랏빛소어린이,2021
꽁꽁꽁 좀비,윤정주,책읽는곰,2021
손바닥 정글,유제이,리틀브레인,2021
빨주노초파남보똥,김기정,사계절,2008
목요일 살인 클럽,"오스먼, 리처드",살림(살림출판사),2021
미워하는 미워하는 미워하는 마음 없이,유지혜,김영사,2021
밸런스 게임 = Balance Game,김동식,요다,2021
지구에서 가장 독한 동물들,"데이비스, 니콜라",비룡소,2007
슬기둥 덩뜰당뜰 저 소리 들어 보오,연필시 동인,대교출판,2009
브로콜리 펀치 : 이유리 소설집,이유리,문학과 지성사,2022
비하인드 도어 : B.A. 패리스 장편소설,"패리스, B.A",모모,2021
사랑한다고 말할 용기,황선우,한올산업,2022
상관없는 거 아닌가? : 장기하 산문,장기하,문학동네,2020
상실의 이해 : 과학 스토리 단편선,전현규,월간토마토,2021
새 마음으로 : 이슬아의 이웃 어른 인터뷰,이슬아,헤엄,2021
선릉 산책 : 정용준 소설,정용준,문학동네,2021
세계를 건너 너에게 갈게 : 이꽃님 장편소설,이꽃님,문학동네,2021
소녀 연예인 이보나 : 한정현 소설집,한정현,민음사,2021
안나의 토성 : 마스다 미리 소설,마스다 미리,이봄,2021
"어느 날, 마음이 불행하다고 말했다",손미나,위즈덤하우스,2020
어리석은 자의 독 : 우사미 마코토 장편소설,우사미 마코토,블루홀식스,2022
여름의 빌라 : 백수린 소설,백수린,문학동네,2021
"여자 둘이 살고 있습니다 : 혼자도 결혼도 아닌, 조립식 가족의 탄생",김하나,위즈덤하우스,2021
오늘 딱 하루만 잘 살아 볼까? : 하루하루를 신나고 즐겁게 살아갈 수 있는 방법 100가지 : 김중혁 에세이,김중혁,자이언트북스,2021
(0~6세)골든타임 책육아,남미영,스마트베어,2021
20세기 영국시,"스웨이트, 앤서니",동인,2020
요리코를 위해,노리즈키 린타로,모모,2022
이순신의 바다 : 그 바다는 무엇을 삼켰나,황현필,역바연(역사바로잡기연구소),2021
(왕PD의 토크멘터리) 조선왕조실록,왕현철,스마트북스,2021
ㄹ받침 한 글자 : 김은영 동시집,김은영,사계절,2008
슈퍼 출동! 공룡 자동차,"데일, 페니",사파리,2021
앙통의 완벽한 수박밭,"비탈리, 코린 로브라",그림책공작소,2021
(Hot) 뜨거운 지구,"클레이본, 애나",푸른숲주니어,2020
변기 타고 세계 여행,에리코,푸른숲주니어,2021
복수의 초짜,임근희,책읽는곰,2021
"비밀요원 레너드 . 1 , 옷장 속 괴물 부기맨이 나타났다!",박설연,아울북,2021
"비밀요원 레너드 . 4 , 파라오의 저주는 사실일까?",박설연,아울북,2021
"비밀요원 레너드 . 6 , 구미호가 나타났다!",박설연,아울북,2021
빵집 새끼 고양이,이상교,산하,2021
"뼈뼈 사우루스 . 5 , '뼈뼈 피닉스'의 알 구출 작전!",암모나이트,미래엔,2019
"뼈뼈 사우루스 . 6 , 베베, '뼈뼈 바이킹'이 되다!",암모나이트,미래엔,2019
"뼈뼈 사우루스 . 9 , 베베와 '마법 골짜기'의 마법사들",암모나이트,미래엔,2020
엄마가 사라진 날,고정욱,한솔수북,2020
우리 곁에 빅 데이터가 있어!,박열음,청어람i아이,2021
"이시원의 영어 대모험 . 10 , 전치사 = English adventure",박시연,아울북,2021
일 년 전 로드 뷰 : 전성현 장편동화,전성현,별숲,2021
흔한남매 . 8,흔한남매,미래엔 아이세움,2021
농담과 그림자,김민영,시간의흐름,2021
(The)Berenstain Bears and Too Much Vacation,"Berenstain, Stan",Random House,1987
숨이 차오를 때까지 : 진보라 그림책,진보라,웅진주니어,2021
(The)Berenstain Bears' Funny Valentine,"Berenstain, Stan",Random House,1987
(The)Berenstain Bears' Funny Valentine,"Berenstain, Stan",Random House,1987
산 너머는 푸른 바다였다,이마에 요시토모,낮은산,2005
다이아몬드 미스터리,"위드마크, 마틴",소년한길,2005
그 여자가 날 데려갔어,"멥스, 구두룬",시공주니어,2006
(키르케고르가 들려주는)죽음에 이르는 병 이야기,김선욱,자음과모음,2006
여름휴가,권정생,국민서관,2010
북호텔 : 외젠 다비 장편소설,"다비, 외젠",민음사,2009
(집요한 과학씨)동물 행동을 관찰하다,이케다 히로시,웅진주니어,2007
"아빠는 구슬치기 대왕, 나는 게임 대장",박성철,아이앤북,2006
작가가 되고 싶어！ : [앤드루 클레먼츠 장편동화],"클레먼츠, 앤드루",사계절출판사,2006
꼬질꼬질 구리구리 지구가 몸살 났어요,최열,청년사,2008
평화를 그리는 티베트 친구들,티베트 난민 어린이들,초록개구리,2008
길고양이 방석 : 박효미 장편동화,박효미,사계절,2008
내가 좋아하는 식물원 : 세밀화로 그린 어린이 식물원 도감,이성실,호박꽃,2009
아주 특별한 여행,애비,푸른나무,2006
토씨네 백년공방 . 27,노수미외,KB국민은행,2010
(늑대가 들려주는)아기돼지 삼형제 이야기,"셰스카, 존",보림출판사,2003
마음 : '천산야' 수필집 하나,강영수,맑은샘,2015
뮤지컬을 꿈꾸다,정재왈,아이세움,2010
뮤지컬을 꿈꾸다,정재왈,아이세움,2010
(첫걸음에서 완전마스터까지)기적의 음청묵 영어,"Joh, Charlie",이인북스,2009
(첫걸음에서 완전마스터까지)기적의 음청묵 영어,"Joh, Charlie",이인북스,2009
(The)jewel,"Kim, Hae-Lim",느림보,2007
(The)Richest man,"Kim, Hae-Lim",느림보,2007
빨리빨리 : KB 창작동화제 수상작,최보윤,국민은행,2012
하나님이 나를 치유하셨다,손기철,규장,2008
하나님이 나를 치유하셨다,손기철,규장,2008
하나님이 나를 치유하셨다,손기철,규장,2008
나라얀푸르 아이들 : 사시 데슈판데 장편동화,"데슈판데, 샤시",창비,2008
(둥글둥글 지구촌)종교 이야기,"슐츠-라이스, 크리스티네",풀빛,2007
마녀 위니의 수리 수리 마법책,"오웬, 로라",비룡소,2009
혹부리 할아버지,송언,국민서관,2008
금단현상 : 이금이 동화집,이금이,푸른책들,2006
(고정욱 선생님과 함께 읽는)금수회의록,안국선,산하,2008
쥐똥 선물,김리리,비룡소,2008
Ira says Goodbye,"Waber, Bernard",HMCo,2006
(좋은 엄마가 뽑은 명작)어린왕자,"생텍쥐페리, 앙투안느 드",느낌표교육,2006
랑랑별 때때롱 : 권정생 장편동화,권정생,보리,2008
생명이 들려준 이야기 : 위기철 창작동화집,위기철,사계절,2007
